"characters_id","characters_name","characters_images","characters_jutsu","characters_personal","characters_uniqueTraits","characters_natureType","characters_rank","characters_tools","characters_debut_novel","characters_debut_movie","characters_debut_appearsIn","characters_debut_manga","characters_debut_anime","characters_debut_game","characters_debut_ova","characters_family_incarnation-with-the-god-tree","characters_family_depowered-form","characters_family_son","characters_family_nephew","characters_family_adoptive-son","characters_family_father","characters_family_adoptive-brother","characters_family_cousin","characters_family_adoptive-father","characters_family_brother","characters_family_husband","characters_family_father","characters_family_grandniece","characters_family_grandmother","characters_family_grandfather","characters_family_mother","characters_family_granduncle","characters_family_daughter","characters_family_wife","characters_family_uncle","characters_family_granddaughter","characters_family_fiancée","characters_family_owner","characters_family_sister","characters_family_ex-husband","characters_family_younger-cousin","characters_family_uncle","characters_family_adoptive-cousin","characters_family_grandson","characters_family_younger-brother","characters_family_creator","characters_family_sibling","characters_family_unknown-kinship","characters_family_genetic-source","characters_family_creator/father","characters_family_original-form","characters_family_adoptive-daughter","characters_family_grandnephew","characters_family_adoptive-mother","characters_family_adoptive-sister","characters_family_fiancé","characters_family_lover","characters_family_twin-brother","characters_family_older-brother","characters_family_mother","characters_family_niece","characters_family_adoptive-nephew","characters_family_wife","characters_family_adoptive-grandson","characters_family_first-cousin-once-removed","characters_family_stepfather","characters_family_granddaughter","characters_family_grandson","characters_family_great-great-granddaughter","characters_family_great-great-grandson","characters_family_creation","characters_family_grandmother","characters_family_oldest-brother","characters_family_host","characters_family_clone","characters_family_godson","characters_family_son","characters_family_brother","characters_family_step-son","characters_family_pet","characters_family_genetic-template","characters_family_daughter","characters_family_adoptive-grandfather","characters_family_adoptive-aunt","characters_family_great-great-grandfather","characters_family_great-great-grandfather","characters_family_genetic-template/parent","characters_family_clone/brother","characters_family_altered-clone","characters_family_pet","characters_family_younger-brother","characters_family_unknown-kinship","characters_family_granduncle","characters_family_great-grandfather","characters_family_creation/clone","characters_family_creation","characters_family_clone/son","characters_family_grandfather","characters_family_creations","characters_family_vessel","characters_family_lover","characters_family_foster-son","characters_family_foster-father","characters_family_youngest-brother","characters_family_creation/clone-daughter","characters_family_spouse","characters_family_great-granddaughter","characters_family_great-grandson","characters_family_younger-relative","characters_family_adoptive-grandmother","characters_family_adoptive-granduncle","characters_family_adoptive-uncle","characters_family_distant-relative","characters_family_ex-wife","characters_family_descendant","characters_family_ancestor","characters_family_adoptive-nephews","characters_family_aunt","characters_family_godfather","characters_family_genetic-donor","characters_family_chakra-donor","characters_family_adoptive-sons","characters_family_adoptive-grandsons","characters_family_great-nephew","characters_family_adoptive-great-nephew","characters_voiceActors_japanese","characters_voiceActors_english","currentPage","pageSize","totalCharacters"
624,"Kegon","https://static.wikia.nocookie.net/naruto/images/1/12/Kegon.png","Water Release: Water Shuriken","Male; list(`Part I` = ""174cm""); Takigakure; Team Fū; Yōrō","Male; list(`Part I` = ""174cm""); Takigakure; Team Fū; Yōrō","Water Release","list(`Part I` = ""Jōnin"")","",NA,NA,"Anime",NA,"Naruto Shippūden Episode #395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Daisuke Nakamura","Liam O'Brien",1,1431,1431
625,"Keiri","https://static.wikia.nocookie.net/naruto/images/4/41/Keiri.png","","Female; list(`Part II` = ""36""); Caretaker; c(""Konohagakure"", ""Konoha Orphanage"")","Female; list(`Part II` = ""36""); Caretaker; c(""Konohagakure"", ""Konoha Orphanage"")","","","",NA,NA,"Anime, Manga","Naruto Chapter #582","Naruto Shippūden Episode #335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Noriko Miyashita","Carrie Keranen",1,1431,1431
626,"Kidōmaru","https://static.wikia.nocookie.net/naruto/images/e/e8/Kid%C5%8Dmaru.png","The Springtime of Youth wiki has an article about this topic:; Kidōmaru","December 16; Male; list(`Part I` = ""14""); Deceased; list(`Part I` = ""159.2cm""); list(`Part I` = ""56.2kg""); A; Sensor Type; Otogakure; Sound Four","December 16; Male; list(`Part I` = ""14""); Deceased; list(`Part I` = ""159.2cm""); list(`Part I` = ""56.2kg""); A; Sensor Type; Otogakure; Sound Four","","","",NA,NA,"Anime, Manga, Game","Naruto Chapter #115","Naruto Episode #68","Naruto: Ultimate Ninja","Hidden Leaf Village Grand Sports Festival!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Susumu Chiba","Peter Lurie; Lex Lang   (2 video games)",1,1431,1431
627,"Kie","https://static.wikia.nocookie.net/naruto/images/6/60/Monjin.png","","Male; list(`Part II` = ""18""); Deceased; c(""Amegakure"", ""Akatsuki"")","Male; list(`Part II` = ""18""); Deceased; c(""Amegakure"", ""Akatsuki"")","","","",NA,NA,"Anime, Manga, Game","Naruto Chapter #509","Naruto Shippūden Episode #252","Naruto Shippūden: Ultimate Ninja Storm 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shinobu Matsumoto","Richard Epcar",1,1431,1431
628,"Kigiri","https://static.wikia.nocookie.net/naruto/images/3/3f/Kigiri.png","Binding Smoke Prison; Destroying Smell Smoke Prison; Exploding Flame Shot; Multiple Smoke Clone; Smoke Clone","Male; Deceased; Otogakure; Team Guren","Male; Deceased; Otogakure; Team Guren","Fire Release","","",NA,NA,"Anime",NA,"Naruto Shippūden Episode #91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yoshimasa Hosoya","Steven Blum",1,1431,1431
629,"Kihō","https://static.wikia.nocookie.net/naruto/images/3/3c/Kih%C5%8D.png","Dark Smoke Sphere; Smoke Dragon","Male; Deceased; Otogakure; Team Guren","Male; Deceased; Otogakure; Team Guren","","","Wrist Launcher",NA,NA,"Anime",NA,"Naruto Shippūden Episode #91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ken'ichirō Matsuda","Troy Baker",1,1431,1431
630,"Kiiro","","Water Release: Angry Bitter Rain; Water Release: Water Bullet Technique; Water Release: Water Dragon Bullet Technique","Male","Male","Water Release","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Komitsu",NA,NA,NA,NA,NA,NA,NA,NA,"Kanyū",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1,1431,1431
631,"Kiji","https://static.wikia.nocookie.net/naruto/images/2/26/Kiji.png","","Male; Benisu Island; Team Bandō","Male; Benisu Island; Team Bandō","","list(`Part II` = ""Genin"")","",NA,NA,"Anime",NA,"Naruto Shippūden Episode #224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nobuaki Kanemitsu","Kyle Herbert",1,1431,1431
632,"Kiki","https://static.wikia.nocookie.net/naruto/images/4/4a/Kiki.png","","Monkey; Chamū","Monkey; Chamū","","","","Naruto the Movie: Guardians of the Crescent Moon Kingdom","Naruto the Movie: Guardians of the Crescent Moon Kingdom","Novel, Game, Movie",NA,NA,"Naruto: Path of the Ninja 2  (movie poster)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Frank Welker",1,1431,1431
633,"Kiku","https://static.wikia.nocookie.net/naruto/images/0/01/Kiku.png","","Male; Deceased","Male; Deceased","","","",NA,NA,"Anime",NA,"Boruto Episode #145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hirokazu Sekido","Robbie Daymond",1,1431,1431
634,"Kikuchiyo","","","Male; Ninken; Konohagakure; Mimi Inuzuka; Inuzuka","Male; Ninken; Konohagakure; Mimi Inuzuka; Inuzuka","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1,1431,1431
635,"Kikunojō","https://static.wikia.nocookie.net/naruto/images/1/13/Kikunoj%C5%8D.png","Flower Ninja Art; Flower Ninja Art: Many Blooming Flowers; Flower Ninja Art: Many Releasing Flowers; Flower Ninja Art: Mirror Flower Water; Flower Shuriken: Falling Blossoms and Scattering Leaves","Male; Deceased; Daimyō's Bodyguard; Land of Vegetables; Yurinojō","Male; Deceased; Daimyō's Bodyguard; Land of Vegetables; Yurinojō","Fire Release; Yin Release","","",NA,NA,"Anime",NA,"Naruto Episode #187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hideo Watanabe","Ezra Weisz",1,1431,1431
636,"Killer B","https://static.wikia.nocookie.net/naruto/images/6/63/Killer_B.png; https://static.wikia.nocookie.net/naruto/images/3/30/Killer_B_Part_III.png","Acrobat; Cloud-Style Deception Beheading (Anime only); Continuous Tailed Beast Balls; Disturbance Taijutsu; Headbutt; Ink Clone Technique; Ink Creation; Lightning Release: Double Lariat; Lightning Release: Lariat; Octopus Leg Clone Technique; Reverse Mist Beheading (Anime only); Sealing Technique: Octopus Hold; Shadow Clone Technique (Anime only); Tailed Beast Ball; Tailed Beast Chakra Arms; Tailed Beast Eight Twists; Tailed Beast Full Charge; Tailed Beast Lariat","May 15; Male; list(`Part II` = ""36""); list(`Part II` = ""192cm"", Gaiden = ""190cm""); list(`Part II` = ""87.1kg""); B; Jinchūriki; Gyūki (Forms); Guardian of Kumogakure; c(""Kumogakure"", ""Allied Shinobi Forces""); c(""A–B Combo"", ""Kumo Council""); A; c(""キラービーKirāBī"", ""killerBee"")","May 15; Male; list(`Part II` = ""36""); list(`Part II` = ""192cm"", Gaiden = ""190cm""); list(`Part II` = ""87.1kg""); B; Jinchūriki; Gyūki (Forms); Guardian of Kumogakure; c(""Kumogakure"", ""Allied Shinobi Forces""); c(""A–B Combo"", ""Kumo Council""); A; c(""キラービーKirāBī"", ""killerBee"")","Lightning Release; Water Release; Fire Release; Yang Release","CL3288","Chakra Cannon; Samehada; Supervibrato Lightning Release Swords","The Last: Naruto the Movie","Naruto the Movie: Blood Prison","Anime, Manga, Novel, Game, Movie","Naruto Chapter #408","Naruto Shippūden Episode #142","Naruto Shippūden: Ultimate Ninja Storm 2","Naruto Shippūden: UNSG anime cutscenes",NA,NA,NA,NA,NA,NA,"A",NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Blue B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hisao Egawa; Mariko Higashiuchi   (Child)","Catero Colbert; Reno Wilson  (Naruto Shippūden: Ultimate Ninja Storm 2)",1,1431,1431
637,"Kimimaro","https://static.wikia.nocookie.net/naruto/images/c/c8/Kimimaro_infobox.png","The Springtime of Youth wiki has an article about this topic:; Kimimaro","June 15; Male; list(`Part I` = ""15""); Deceased; list(`Part I` = ""166.1cm""); list(`Part I` = ""49.8kg""); A; Shikotsumyaku; Otogakure; Sound Five; Kaguya","June 15; Male; list(`Part I` = ""15""); Deceased; list(`Part I` = ""166.1cm""); list(`Part I` = ""49.8kg""); A; Shikotsumyaku; Otogakure; Sound Five; Kaguya","","","",NA,NA,"Anime, Manga, Game","Naruto Chapter #199","Naruto Episode #118","Naruto: Ninja Council 2 European Version","Finally a clash! Jōnin vs. Genin!! Indiscriminate Grand Melee Tournament Meeting!!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Toshiyuki Morikawa; Makoto Tsumura   (Child)","Keith Silverstein; Kari Wahlgren   (Child)",1,1431,1431
638,"Kin (actor)","https://static.wikia.nocookie.net/naruto/images/d/d4/Kin.png","","Male; Actor; Land of Fire; c(""キンKin"", ""brit"")","Male; Actor; Land of Fire; c(""キンKin"", ""brit"")","","","","Naruto the Movie: Ninja Clash in the Land of Snow (novel)","Naruto the Movie: Ninja Clash in the Land of Snow","Novel, Movie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yutaka Nakano","Doug Stone",1,1431,1431
639,"King","https://static.wikia.nocookie.net/naruto/images/f/f7/King_anime.png","","Male; Gorilla; list(`Part II` = ""13""); Kumogakure","Male; Gorilla; list(`Part II` = ""13""); Kumogakure","","","",NA,NA,"Anime, Manga","Naruto Chapter #492","Naruto Shippūden Episode #243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1,1431,1431
640,"King of Hell","https://static.wikia.nocookie.net/naruto/images/3/30/Outer_Path.png","","Male","Male","","","",NA,NA,"Anime, Manga, Game","Naruto Chapter #422","Naruto Shippūden Episode #158","Naruto Shippūden: Ultimate Ninja Storm 2","Naruto Shippūden: UNSG anime cutscenes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1,1431,1431
641,"Kinkaku","https://static.wikia.nocookie.net/naruto/images/f/f4/Kinkaku_268.png","Bashōsen: Coil of Fire","March 7; Male; list(`Part II` = ""44""); Deceased; list(`Part II` = ""183.9cm""); list(`Part II` = ""80.1kg""); A; Pseudo-Jinchūriki; Kurama (Forms); Kumogakure; c(""Gold and Silver Brothers"", ""Kinkaku Force""); Ginkaku","March 7; Male; list(`Part II` = ""44""); Deceased; list(`Part II` = ""183.9cm""); list(`Part II` = ""80.1kg""); A; Pseudo-Jinchūriki; Kurama (Forms); Kumogakure; c(""Gold and Silver Brothers"", ""Kinkaku Force""); Ginkaku","","","Bashōsen; Kohaku no Jōhei; Kōkinjō; Shichiseiken","Sakura Hiden: Thoughts of Love, Riding Upon a Spring Breeze  (Mentioned)",NA,"Anime, Manga, Novel, Game","Naruto Chapter #525","Naruto Shippūden Episode #267","Naruto Shippūden: Ultimate Ninja Storm 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ginkaku",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Takaya Kuroda","John Eric Bentley",1,1431,1431
642,"Kinoto","https://static.wikia.nocookie.net/naruto/images/b/b2/Kinoto2.png","","Male; c(""Konohagakure"", ""Root"")","Male; c(""Konohagakure"", ""Root"")","","list(`Part II` = ""Anbu"")","Sword",NA,NA,"Anime, Game",NA,"Naruto Shippūden Episode #349","Naruto Shippūden: Ultimate Ninja Blazing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ryūichi Kijima","Todd Haberkorn",1,1431,1431
643,"Kintoki","https://static.wikia.nocookie.net/naruto/images/6/60/Kintoki_mugshot.png","","Male; Bear; list(`Part II` = ""9""); Kumogakure","Male; Bear; list(`Part II` = ""9""); Kumogakure","","","",NA,NA,"Anime, Manga","Naruto Chapter #493","Naruto Shippūden Episode #243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1,1431,1431
644,"Dosu Kinuta","https://static.wikia.nocookie.net/naruto/images/b/b0/Dosu_Kinuta.png","Resonating Echo Drill","June 12; Male; list(`Part I` = ""14""); Deceased; list(`Part I` = ""156cm""); list(`Part I` = ""49kg""); A; Otogakure; Team Dosu","June 12; Male; list(`Part I` = ""14""); Deceased; list(`Part I` = ""156cm""); list(`Part I` = ""49kg""); A; Otogakure; Team Dosu","","","Resonating Echo Speaker",NA,NA,"Anime, Manga, Game","Naruto Chapter #35","Naruto Episode #21","Naruto: Path of the Ninja","Finally a clash! Jōnin vs. Genin!! Indiscriminate Grand Melee Tournament Meeting!!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Daisuke Egawa","John DeMita",1,1431,1431
